"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"989","Ivan Provorov","PHI","D","246","5840.8166666667","30","67","31","36","97","39.75","509","5.89","26.38","1018","673","269","58","18","62","86","37","36","0","1","29","265","65","382","410","484","0","1","0.00"
"482","Brett Connolly","WSH","R","217","2625.45","52","44","28","16","96","65.31","287","18.12","28.74","522","389","336","136","13","29","94","43","42","0","1","23","57","66","214","159","61","27","49","35.53"
"551","Andrew Shaw","MTL","C, R","182","2842.65","41","55","31","24","96","61.94","356","11.52","42.72","596","468","421","241","13","51","234","71","55","8","8","58","81","63","355","377","100","597","551","52.00"
"673","Radek Faksa","DAL","C","240","3831.05","44","52","33","19","96","64.00","365","12.05","45.1","637","516","402","231","28","44","157","64","56","7","1","67","81","123","305","365","183","1716","1715","50.01"
"854","Aaron Ekblad","FLA","D","232","5316","39","57","18","39","96","34.04","594","6.57","32.61","1122","809","321","63","18","65","176","82","78","4","0","45","279","112","271","271","271","0","0","-"
"131","Mike Green","DET","D","181","4085.7666666667","27","68","28","40","95","53.37","349","7.74","19.37","737","500","228","40","9","31","106","53","53","0","0","23","169","69","205","324","222","0","0","-"
"702","Jaccob Slavin","CAR","D","246","5663.2333333333","21","74","33","41","95","37.40","399","5.26","18.42","835","575","175","35","21","58","40","20","20","0","0","22","154","246","152","417","448","0","1","0.00"
"261","Sam Gagner","CBJ, EDM, VAN","C","187","2695.8333333333","34","60","37","23","94","63.51","411","8.27","35.4","695","545","347","145","10","39","71","34","33","1","0","24","69","39","97","183","51","481","523","47.91"
"468","Cam Fowler","ANA","D","206","5031.7333333333","24","70","28","42","94","39.66","396","6.06","21.27","854","530","294","53","19","62","68","34","34","0","0","17","158","81","82","288","333","1","1","50.00"
"665","Tom Wilson","WSH","R","223","3449.9833333333","43","51","25","26","94","57.67","348","12.36","38.79","629","487","376","201","16","39","448","137","98","28","11","125","109","119","689","385","147","57","60","48.72"
"684","Devin Shore","ANA, DAL","C","240","3508.0166666667","34","60","39","21","94","69.12","320","10.63","41.47","596","462","409","216","14","54","41","19","18","1","0","44","66","86","209","248","192","395","474","45.45"
"691","Damon Severson","N.J","D","238","4931.25","23","71","41","30","94","43.72","392","5.87","20.41","778","537","184","36","12","43","158","69","64","4","1","39","165","75","269","205","222","0","0","-"
"935","Noah Hanifin","CAR, CGY","D","240","4603.35","19","75","36","39","94","43.12","389","4.88","21.22","854","548","223","51","9","66","59","28","27","1","0","15","198","142","225","252","225","0","0","-"
"89","Brent Seabrook","CHI","D","238","4854.9833333333","15","78","34","44","93","40.09","432","3.47","22.04","908","592","191","29","20","51","105","51","50","1","0","26","231","68","320","320","497","0","3","0.00"
"171","Matt Niskanen","WSH","D","226","5021.5333333333","20","73","37","36","93","41.15","417","4.80","16.2","873","583","184","23","16","46","109","53","52","1","0","25","213","94","431","413","328","0","0","-"
"317","Justin Schultz","PIT","D","170","3418.8333333333","18","75","35","40","93","38.75","311","5.79","17.58","628","441","175","27","7","35","52","26","26","0","0","11","91","44","128","325","250","0","0","-"
"390","Dmitry Orlov","WSH","D","246","5272.5333333333","19","74","36","38","93","36.61","351","5.41","16.97","724","484","202","29","14","40","106","50","48","2","0","45","181","141","387","247","313","0","0","-"
"719","Connor Brown","TOR","R","246","3690.9333333333","42","51","34","17","93","56.36","343","12.24","37.28","613","504","384","175","25","25","44","22","22","0","0","31","68","116","108","268","111","81","130","38.39"
"225","Michael Grabner","ARI, N.J, NYR","R","197","2846.6666666667","63","29","19","10","92","71.32","394","15.99","47.83","625","522","402","223","46","34","34","17","17","0","0","30","74","125","137","67","86","22","25","46.81"
"441","Calle Jarnkrok","NSH","C","228","3573","41","51","24","27","92","60.53","345","11.88","31.77","613","469","346","142","20","28","49","23","22","1","0","40","53","70","141","226","82","884","881","50.08"
"104","Shea Weber","MTL","D","162","3974.25","37","54","22","32","91","48.92","424","8.73","17.89","927","649","133","13","13","56","80","40","40","0","0","12","178","35","335","169","326","0","0","-"
"106","David Backes","BOS","R","201","3057.0333333333","38","53","31","22","91","57.96","464","8.19","43.73","725","622","376","185","28","52","153","51","39","9","3","44","82","92","503","264","102","361","313","53.56"
"687","Jimmy Vesey","NYR","L","240","3523.5166666667","50","40","29","11","90","58.06","406","12.32","52.99","719","555","472","268","20","48","67","25","21","3","1","43","122","140","226","211","105","25","46","35.21"
"142","Alexander Edler","VAN","D","194","4728.6666666667","22","67","40","27","89","42.18","438","5.02","17.5","917","605","198","27","13","36","158","79","79","0","0","28","131","61","390","374","507","3","2","60.00"
"447","Ryan Spooner","BOS, EDM, NYR, VAN","C","189","2595.8833333333","27","62","32","30","89","64.03","319","8.46","26.12","493","399","262","104","17","30","20","10","10","0","0","16","104","61","129","150","40","229","297","43.54"
"464","Nick Bjugstad","FLA, PIT","C","200","2917.6833333333","40","49","26","23","89","64.49","475","8.42","46.63","747","628","454","214","21","57","93","45","44","1","0","45","105","110","293","220","55","600","619","49.22"
"655","Brady Skjei","NYR","D","240","4777.3333333333","17","72","31","41","89","42.38","406","4.19","20.65","741","543","219","58","16","37","125","60","59","1","0","39","182","76","452","335","307","1","1","50.00"
"764","Oliver Bjorkstrand","CBJ","R","185","2487.9833333333","40","49","33","16","89","68.46","379","10.55","33.85","642","510","352","132","23","45","23","9","8","1","0","27","47","65","121","249","86","7","15","31.82"
"871","Alex Tuch","MIN, VGK","R","158","2491.7","35","54","28","26","89","61.38","359","9.75","40.61","644","504","424","193","24","60","35","16","15","1","0","16","80","128","196","210","89","113","164","40.79"
"418","Erik Haula","MIN, VGK","C, L","163","2563.7666666667","46","42","21","21","88","66.17","335","13.73","31.63","574","464","343","144","19","34","75","32","30","1","1","28","61","80","135","209","86","971","899","51.93"
"779","Ryan Hartman","CHI, NSH, PHI","L, R","237","3077.9333333333","42","46","27","19","88","63.31","444","9.46","41.21","754","588","436","199","28","44","216","81","71","6","4","95","89","97","341","347","107","122","159","43.42"
"973","Anthony Beauvillier","NYI","C, L","218","3076.8","48","40","22","18","88","57.89","389","12.34","40.44","636","509","455","226","26","28","34","17","17","0","0","29","80","77","248","291","90","221","299","42.50"
"170","Andrew Cogliano","ANA, DAL","C, L","240","3439.5666666667","34","53","34","19","87","70.73","460","7.39","44.28","768","610","408","187","36","48","89","42","41","1","0","45","99","65","224","183","90","54","64","45.76"
"615","Oscar Klefbom","EDM","D","209","4805","22","65","31","34","87","34.52","571","3.85","25.24","1128","788","229","42","14","50","40","19","19","0","0","15","161","82","136","368","384","0","0","-"
"494","Joonas Donskoi","S.J","R","207","2904.0833333333","34","52","30","22","86","60.99","339","10.03","38.08","557","444","386","204","10","47","46","23","23","0","0","54","106","101","91","419","91","14","24","36.84"
"863","Nick Ritchie","ANA","L","213","2901.7833333333","33","53","30","23","86","65.65","367","8.99","43.3","673","550","423","235","20","48","216","82","73","4","5","38","79","46","591","242","82","14","23","37.84"
"173","Marc-Edouard Vlasic","S.J","D","228","4934.0833333333","20","65","31","34","85","38.12","405","4.94","19.4","890","584","232","41","16","55","79","22","17","1","4","24","168","67","67","290","434","0","1","0.00"
"584","Victor Rask","CAR, MIN","C","202","3103.2666666667","33","52","22","30","85","59.03","367","8.99","29.25","641","494","292","114","23","42","36","17","17","0","0","19","103","102","145","207","74","1054","1010","51.07"
"721","Alexander Kerfoot","COL","C","157","2222.7333333333","34","51","27","24","85","70.25","198","17.17","20.59","332","257","233","109","7","25","66","32","32","0","0","29","54","52","64","226","64","481","500","49.03"
"772","Andre Burakovsky","WSH","L","196","2469.3333333333","36","49","25","24","85","73.28","295","12.20","26.56","570","401","339","108","17","24","55","22","20","1","1","22","96","84","106","259","80","27","33","45.00"
"988","Jake DeBrusk","BOS","L","138","2104.9833333333","43","42","22","20","85","59.86","299","14.38","29.08","506","412","304","155","23","23","37","13","11","1","1","34","48","73","115","216","50","21","47","30.88"
"626","Colin Miller","BOS, VGK","D","208","3827.9333333333","19","64","35","29","83","45.60","393","4.83","18.62","969","596","180","20","17","62","152","65","60","4","1","52","132","76","372","307","164","1","0","100.00"
"735","Nate Schmidt","VGK, WSH","D","197","3958.0333333333","17","66","30","36","83","35.32","275","6.18","15.82","626","407","173","34","11","34","40","20","20","0","0","16","140","138","129","207","258","0","1","0.00"
"288","Alec Martinez","L.A","D","219","4816.7833333333","22","60","29","31","82","38.32","333","6.61","17.85","732","490","213","43","10","51","66","33","33","0","0","12","202","28","315","362","508","0","2","0.00"
"910","Danton Heinen","BOS","C","162","2338.3","27","54","30","24","81","67.50","256","10.55","24.52","452","349","264","114","14","24","34","17","17","0","0","21","60","90","105","146","71","12","23","34.29"
"96","Ryan Kesler","ANA","C","186","3530.35","35","45","27","18","80","56.74","350","10.00","48.84","638","516","414","243","14","50","173","68","58","9","1","49","86","53","310","220","169","2011","1577","56.05"
"303","Colin Wilson","COL, NSH","C, L","191","2664","30","50","28","22","80","58.39","292","10.27","31.81","464","380","304","163","12","26","32","16","16","0","0","33","48","50","143","215","77","96","110","46.60"
"364","Alex Chiasson","CGY, EDM, WSH","R","215","3041.0166666667","43","37","25","12","80","56.34","286","15.03","33.59","464","379","310","181","21","31","104","42","37","4","1","31","65","89","216","299","78","25","67","27.17"
"407","Cody Eakin","DAL, VGK","C","218","3370.1166666667","36","44","27","17","80","60.61","309","11.65","33.83","572","441","331","149","28","32","87","35","31","3","1","38","98","135","216","260","119","1482","1378","51.82"
"797","Artturi Lehkonen","MTL","L","221","3375.55","41","39","23","16","80","56.34","498","8.23","49.82","860","653","508","261","37","60","60","30","30","0","0","32","67","98","263","385","87","18","35","33.96"
"866","Jakub Vrana","WSH","L","176","2296.9833333333","40","40","26","14","80","69.57","326","12.27","35.28","542","456","362","162","21","31","41","19","18","1","0","38","96","73","84","97","55","17","21","44.74"
"977","Thomas Chabot","OTT","D","134","2810.55","23","57","21","36","80","47.06","280","8.21","13.95","560","361","157","33","10","37","46","23","23","0","0","20","109","58","116","193","176","0","0","-"
"295","Zack Smith","OTT","C, L","212","3493.6166666667","30","49","26","23","79","64.23","362","8.29","36.48","647","513","340","166","27","38","196","85","78","6","1","68","111","100","366","294","94","1017","1032","49.63"
"648","Hampus Lindholm","ANA","D","211","4874.3166666667","25","54","21","33","79","35.11","350","7.14","20.46","750","490","207","33","16","48","114","57","57","0","0","28","211","65","272","346","324","2","0","100.00"
"857","Sam Bennett","CGY","C","234","3338.4","37","42","27","15","79","63.71","394","9.39","42.76","714","562","467","226","27","47","227","92","81","9","2","72","95","122","388","234","107","543","577","48.48"
"609","Sven Baertschi","VAN","L","147","2300.2333333333","41","37","21","16","78","63.93","240","17.08","26.82","399","323","274","129","15","26","34","16","16","0","0","26","46","68","89","159","71","3","9","25.00"
"714","Vinnie Hinostroza","ARI, CHI","C, L","171","2377.1833333333","29","49","29","20","78","78.00","314","9.24","33.62","579","416","323","149","19","46","41","19","18","1","0","37","65","82","126","240","77","146","217","40.22"
"809","Darnell Nurse","EDM","D","208","4526.3666666667","21","57","22","35","78","36.62","475","4.42","22.21","906","654","241","52","20","44","187","72","61","9","2","43","181","69","430","203","352","0","0","-"
"210","Leo Komarov","NYI, TOR","C, R","238","3707.3666666667","27","50","26","24","77","44.77","306","8.82","31.28","492","426","315","170","24","21","104","48","46","2","0","41","93","121","654","196","136","287","311","47.99"
"679","Esa Lindell","DAL","D","235","5357.65","24","53","18","35","77","32.91","368","6.52","18.58","745","507","206","36","22","44","79","38","37","1","0","27","189","83","328","373","403","0","1","0.00"
"815","Josh Morrissey","WPG","D","222","4575.5","19","58","25","33","77","33.05","296","6.42","13.43","621","408","147","27","8","33","99","47","46","1","0","28","119","70","339","325","414","1","1","50.00"
"894","Christian Dvorak","ARI","C, L","176","2787.1166666667","32","45","29","16","77","63.64","264","12.12","34.11","449","385","324","195","14","40","46","23","23","0","0","28","54","46","180","230","111","1181","1190","49.81"
"100","Loui Eriksson","VAN","L","196","3166.4833333333","32","44","27","17","76","62.81","340","9.41","35.57","530","429","327","197","24","30","34","17","17","0","0","24","35","91","21","151","84","8","13","38.10"
"708","Erik Gustafsson","CHI","D","114","2433.6166666667","22","54","30","24","76","49.03","231","9.52","11.22","476","324","114","15","4","24","40","20","20","0","0","11","100","46","130","217","160","0","1","0.00"
"175","Justin Abdelkader","DET","L","210","3400.7833333333","26","49","24","25","75","58.59","309","8.41","36.64","520","443","333","186","19","35","166","67","58","8","1","70","92","45","503","219","101","104","113","47.93"
"352","Antoine Roussel","DAL, VAN","L","198","2732.95","26","49","38","11","75","66.37","251","10.36","27.31","487","373","294","158","20","27","355","107","79","17","11","93","80","52","260","300","137","46","42","52.27"
"404","Casey Cizikas","NYI","C","196","2690","35","40","27","13","75","70.09","267","13.11","27.63","420","332","261","152","22","30","89","39","37","1","1","49","81","113","401","227","179","1390","1360","50.55"
"775","Shea Theodore","ANA, VGK","D","174","3417.5","20","55","36","19","75","42.86","406","4.93","20.92","809","553","264","39","21","62","62","30","30","0","0","23","131","111","70","198","191","1","0","100.00"
"501","Jesper Fast","NYR","R","205","3032.3166666667","27","47","28","19","74","60.66","216","12.50","28.39","355","293","269","176","11","16","68","33","33","0","0","42","72","76","349","296","135","38","64","37.25"
"573","Jean-Gabriel Pageau","OTT","C","199","3323.6833333333","30","44","22","22","74","63.25","399","7.52","39.42","628","541","355","210","29","48","74","33","32","0","1","52","90","76","355","287","186","1397","1235","53.08"
"746","Will Butcher","N.J","D","159","2804.5","9","65","31","34","74","44.58","196","4.59","11.72","460","317","116","21","6","31","26","9","8","0","1","5","68","37","59","142","136","0","0","-"
"940","Pavel Zacha","N.J","C","200","2974.0166666667","29","45","28","17","74","60.66","294","9.86","29.62","489","413","320","132","22","23","64","28","26","2","0","28","91","81","192","159","70","850","1044","44.88"
"4","Matt Cullen","MIN, PIT","C","222","2758.8","31","42","27","15","73","65.77","286","10.84","31.33","453","371","291","168","13","35","64","31","31","0","0","34","68","58","82","174","100","1115","1089","50.59"
"399","Sami Vatanen","ANA, N.J","D","193","4237.45","11","62","32","30","73","35.78","369","2.98","19.84","751","508","183","27","11","46","92","45","45","0","0","46","127","49","235","284","310","0","0","-"
"556","Adam Lowry","WPG","C, L","205","3127.85","35","38","20","18","73","58.40","297","11.78","35.55","483","401","323","191","17","48","93","35","29","5","1","45","51","92","564","279","133","1676","1406","54.38"
"766","Miles Wood","N.J","L","199","2580.7666666667","37","36","20","16","73","66.36","434","8.53","38.97","682","586","369","192","27","27","261","88","71","11","6","79","83","59","240","375","75","3","4","42.86"
"892","Brandon Montour","ANA, BUF","D","189","3947.65","19","54","23","31","73","41.95","391","4.86","21.34","800","573","238","46","18","39","112","55","55","0","0","36","142","54","216","279","228","0","0","-"
"923","Ondrej Kase","ANA","R","149","2013.1666666667","36","37","24","13","73","76.04","318","11.32","31.14","549","426","314","139","33","18","34","17","17","0","0","35","82","67","87","178","51","15","45","25.00"
"63","Rick Nash","BOS, NYR","L, R","138","2314","44","28","21","7","72","63.16","425","10.35","43.33","684","576","416","230","25","40","54","27","27","0","0","46","84","101","114","108","77","4","16","20.00"
"97","Brian Boyle","N.J, NSH, T.B, TOR","C","217","2874.5166666667","44","28","18","10","72","49.66","374","11.76","37.49","608","503","369","186","19","26","149","44","31","9","4","34","54","63","386","178","117","892","853","51.12"
"133","Blake Comeau","COL, DAL","L","233","3618.6666666667","28","44","27","17","72","64.29","328","8.54","28.11","594","450","295","120","22","35","150","71","70","0","1","70","83","121","482","206","100","243","331","42.33"
"289","Carl Hagelin","L.A, PIT, WSH","L","200","3090.4833333333","21","51","25","26","72","57.60","396","5.30","33.52","634","518","328","143","26","42","72","36","36","0","0","44","65","95","242","249","80","30","52","36.59"
"306","Tyler Myers","WPG","D","173","3628.9833333333","17","55","29","26","72","39.13","322","5.28","16.5","645","447","157","30","10","38","124","55","52","2","1","24","150","70","177","174","239","0","0","-"
"696","Brock McGinn","CAR","L","219","3016.9666666667","33","39","19","20","72","63.72","357","9.24","43.33","721","533","426","221","24","48","46","20","18","2","0","68","78","121","365","255","77","44","58","43.14"
"865","Brendan Perlini","ARI, CHI","L","199","2708.5666666667","45","27","14","13","72","60.50","338","13.31","32.9","673","494","364","146","28","28","76","33","32","0","1","25","49","35","176","159","71","7","13","35.00"
"1070","Mikhail Sergachev","MTL, T.B","D","158","2606.2166666667","15","57","32","25","72","45.57","271","5.54","14.62","604","411","150","29","7","33","66","32","32","0","0","18","113","40","197","214","160","1","1","50.00"
"125","Andrew Ladd","NYI","L","177","2781.8","38","33","21","12","71","59.17","288","13.19","31.98","552","417","350","161","15","25","85","40","39","1","0","25","97","75","225","200","102","7","18","28.00"
"137","Brandon Dubinsky","CBJ","C","203","3136.5166666667","24","47","33","14","71","60.68","267","8.99","26.58","451","353","274","138","15","20","160","56","45","8","3","46","51","79","540","143","135","1718","1470","53.89"
"612","Joel Armia","MTL, WPG","R","193","2758.5666666667","35","36","24","12","71","59.17","373","9.38","36.39","638","479","357","171","29","42","56","28","28","0","0","42","67","136","267","153","90","15","36","29.41"
"661","Mike Matheson","FLA","D","237","5108.05","25","46","26","20","71","32.87","475","5.26","20.24","869","644","240","56","26","30","141","60","57","1","2","46","292","180","185","274","387","1","1","50.00"
"761","Anthony Duclair","ARI, CBJ, CHI, OTT","L","188","2455.1","35","36","19","17","71","61.74","305","11.48","30.94","543","410","314","149","22","44","44","21","21","0","0","40","59","84","100","236","76","7","18","28.00"
"799","Tyler Bertuzzi","DET","L","128","1960.6333333333","28","43","20","23","71","65.14","217","12.90","25.82","410","329","264","150","10","21","75","22","17","3","2","39","60","48","141","200","77","12","28","30.00"
"881","Adrian Kempe","L.A","C, L","187","2560.1","30","41","21","20","71","69.61","269","11.15","22.05","488","365","258","92","7","23","105","45","43","1","1","29","64","51","200","136","46","645","930","40.95"
"266","Riley Nash","BOS, CBJ","C","235","3134.8333333333","25","45","28","17","70","67.96","317","7.89","32.27","524","422","336","160","23","36","51","24","23","1","0","37","45","142","225","345","146","885","958","48.02"
"537","Josh Manson","ANA","D","236","4806.3166666667","15","55","28","27","70","36.46","301","4.98","15.92","591","424","185","51","25","30","206","85","73","12","0","46","194","107","591","331","268","0","1","0.00"
"546","Tobias Rieder","ARI, EDM, L.A","C, R","225","3375.0833333333","28","42","25","17","70","69.31","361","7.76","35.98","650","509","351","181","31","46","20","10","10","0","0","31","35","87","189","281","123","31","53","36.90"
"769","Andrew Copp","WPG","C","215","2754.9833333333","29","41","21","20","70","61.95","255","11.37","27.28","451","348","283","147","14","27","38","19","19","0","0","19","73","71","257","205","113","589","532","52.54"
"876","Jared McCann","FLA, PIT","C","175","2371.7666666667","29","41","29","12","70","70.71","337","8.61","25.16","530","415","250","100","21","32","65","28","25","3","0","39","80","82","148","173","89","528","722","42.24"
"24","Radim Vrbata","ARI, FLA","R","123","1910.7","25","44","29","15","69","71.88","321","7.79","23.94","553","429","252","69","14","24","32","16","16","0","0","10","50","56","63","66","47","24","44","35.29"
"377","Zack Kassian","EDM","R","232","3004.8","29","40","22","18","69","58.97","307","9.45","29.14","476","390","306","168","17","37","295","86","60","17","9","42","120","82","521","212","40","9","32","21.95"
"817","Ryan Pulock","NYI","D","151","3089.3666666667","19","50","25","25","69","45.10","364","5.22","18.8","741","491","195","28","12","38","36","18","18","0","0","13","103","60","257","178","235","0","0","-"
"80","Chris Kunitz","CHI, PIT, T.B","L","209","2588.3666666667","27","41","23","18","68","66.02","259","10.42","26.81","440","340","256","121","19","26","94","40","37","2","1","21","75","76","432","249","73","12","27","30.77"
"149","Troy Brouwer","CGY, FLA","R","225","3210.9333333333","31","37","24","13","68","57.63","252","12.30","26.77","459","370","241","124","15","22","131","43","33","7","3","45","105","73","473","173","119","140","192","42.17"
"801","Brett Pesce","CAR","D","220","4593.3666666667","12","56","26","30","68","32.54","295","4.07","13.42","664","429","160","29","16","50","62","31","31","0","0","32","88","147","167","335","380","1","1","50.00"
"1069","Jesper Bratt","N.J","L","125","1902.15","21","47","26","21","68","72.34","191","10.99","16.38","315","258","163","61","10","18","24","12","12","0","0","25","54","42","80","118","44","11","7","61.11"
"5","Zdeno Chara","BOS","D","210","4728.7166666667","22","45","21","24","67","29.13","379","5.80","18.52","801","536","174","31","10","49","176","75","67","8","0","47","180","105","352","255","346","0","1","0.00"
"33","Niklas Kronwall","DET","D","215","4148.5166666667","9","58","25","33","67","36.41","214","4.21","10.8","412","273","104","18","7","17","108","54","54","0","0","14","134","32","243","190","284","0","0","-"
"207","Erik Johnson","COL","D","188","4337.9666666667","18","49","23","26","67","34.18","408","4.41","17.9","778","531","200","38","13","44","105","37","30","5","2","32","103","90","325","227","376","0","1","0.00"
"693","Colton Sissons","NSH","C","214","3152.0833333333","32","35","18","17","67","45.58","273","11.72","33.23","462","369","314","165","22","16","77","36","35","1","0","28","66","72","349","251","125","1130","982","53.50"
"931","Frank Vatrano","BOS, FLA","C","166","2225.0666666667","41","26","12","14","67","67.68","396","10.35","34.45","639","522","334","119","17","39","86","43","43","0","0","39","50","53","241","174","105","27","37","42.19"
"959","Dylan Strome","ARI, CHI","C","106","1627.7","24","43","22","21","67","59.82","182","13.19","19.53","316","247","194","89","12","21","28","14","14","0","0","12","36","62","23","87","60","557","631","46.89"
"272","Brandon Sutter","VAN","C","168","3033.4333333333","32","34","19","15","66","65.35","309","10.36","29.36","501","418","298","134","24","29","26","13","13","0","0","44","41","69","166","179","98","1582","1434","52.45"
"292","Nick Holden","BOS, NYR, VGK","D","214","4152.3","18","48","22","26","66","33.67","242","7.44","13.5","605","390","171","36","8","29","63","30","29","1","0","21","130","75","404","362","247","0","1","0.00"
"587","Markus Granlund","VAN","C","199","3213.55","39","27","18","9","66","59.46","338","11.54","35.38","567","452","335","172","20","30","42","20","20","0","0","32","35","87","125","158","47","262","366","41.72"
"1114","Elias Pettersson","VAN","C","71","1294.0666666667","28","38","24","14","66","76.74","144","19.44","14.06","267","202","150","42","8","15","12","6","6","0","0","34","52","41","42","85","51","257","370","40.99"
"188","Darren Helm","DET","C, L","186","2825.0833333333","28","37","24","13","65","63.11","346","8.09","29.29","580","458","278","101","35","24","79","36","35","1","0","46","83","88","252","192","80","277","281","49.64"
"296","Jay Beagle","VAN, WSH","C","217","2865.75","23","42","25","17","65","67.01","210","10.95","22.93","349","291","224","123","12","26","56","28","28","0","0","23","46","49","226","143","121","1634","1229","57.07"
"336","Matt Calvert","CBJ, COL","L","216","2954.25","30","35","21","14","65","60.75","341","8.80","34.46","535","434","355","188","23","36","139","47","36","9","2","36","50","94","237","293","120","58","96","37.66"
"398","Marcus Foligno","BUF, MIN","L","239","3055.7333333333","28","37","18","19","65","61.90","267","10.49","26.57","452","369","248","147","21","35","200","69","50","18","1","71","65","84","670","248","144","23","29","44.23"
"689","Jordan Martinook","ARI, CAR","L","240","3529.9666666667","32","33","23","10","65","56.03","367","8.72","43.34","681","544","406","215","26","60","123","60","59","1","0","49","59","125","377","327","156","649","836","43.70"
"221","Patrik Berglund","BUF, STL","C","162","2532","42","22","15","7","64","66.67","290","14.48","30.63","503","412","318","141","19","27","68","32","32","0","0","24","39","71","291","147","94","825","774","51.59"
"474","Riley Sheahan","DET, FLA, PIT","C","243","3409.7666666667","22","42","22","20","64","54.70","328","6.71","33.89","534","449","329","157","27","32","39","17","16","1","0","32","72","103","205","332","132","1156","1031","52.86"
"606","Jonas Brodin","MIN","D","223","4592.3","13","51","23","28","64","31.84","273","4.76","10.26","559","374","111","17","13","25","80","40","40","0","0","27","71","61","115","278","363","0","0","-"
"29","Ron Hainsey","CAR, PIT, TOR","D","233","4976.0666666667","13","50","22","28","63","28.25","225","5.78","8.46","552","347","123","11","16","30","62","28","26","2","0","12","206","74","275","206","433","1","0","100.00"
"273","Colton Sceviour","FLA","C","215","2917.5","25","38","25","13","63","64.95","429","5.83","34.47","655","548","343","170","29","52","64","21","16","4","1","29","79","89","281","253","191","147","179","45.09"
"405","David Savard","CBJ","D","237","4804.4333333333","18","45","23","22","63","28.38","404","4.46","18.45","769","562","191","42","7","46","112","55","55","0","0","19","109","63","393","329","392","0","0","-"
"560","Blake Coleman","N.J","C","180","2759.55","36","27","20","7","63","60.00","388","9.28","39.22","632","519","370","177","31","35","148","68","64","4","0","58","69","130","492","241","116","457","568","44.59"
"762","Sven Andrighetto","COL, MTL","R","160","2075.2","22","41","21","20","63","67.02","274","8.03","23.52","503","371","243","97","18","29","36","18","18","0","0","30","42","63","107","125","72","17","26","39.53"
"1081","Nikita Zaitsev","TOR","D","223","4796.95","12","51","20","31","63","28.90","231","5.19","9.76","698","386","166","17","16","23","87","42","41","1","0","21","213","72","428","429","421","0","0","-"
"86","Dion Phaneuf","L.A, OTT","D","227","4451.0666666667","16","46","22","24","62","34.83","370","4.32","15.44","763","518","183","34","8","43","200","83","74","8","1","63","136","42","421","205","389","0","0","-"
"209","Trevor Lewis","L.A","C","194","2823.35","29","33","24","9","62","69.66","366","7.92","32.5","612","504","311","143","23","45","64","29","27","2","0","31","38","49","352","301","87","148","195","43.15"
"256","Justin Braun","S.J","D","240","4938","11","51","26","25","62","36.47","315","3.49","10.14","711","478","122","19","11","49","91","44","43","1","0","20","145","106","400","447","433","0","0","-"
"557","Nick Cousins","ARI, PHI","C","212","2729.8","25","37","19","18","62","61.39","362","6.91","32.06","577","451","322","161","21","42","97","44","41","3","0","82","60","72","293","365","114","416","545","43.29"
"589","Matt Nieto","COL, S.J","L","197","2865.15","26","36","22","14","62","62.63","256","10.16","27.51","415","340","261","114","12","26","30","15","15","0","0","24","41","68","118","217","116","15","21","41.67"
"664","Cody Ceci","OTT","D","235","5416.55","14","48","28","20","62","31.00","418","3.35","18.65","885","588","232","49","20","54","50","24","24","0","0","14","173","60","394","414","472","1","0","100.00"
"28","Scott Hartnell","CBJ, NSH","L","140","1685.95","26","35","23","12","61","74.39","186","13.98","18.97","305","244","177","95","8","15","145","42","30","7","5","32","55","31","176","90","65","6","15","28.57"
"217","Cal Clutterbuck","NYI","R","215","2915.7666666667","21","40","24","16","61","58.65","311","6.75","32.47","554","424","346","158","23","30","125","45","40","1","4","38","75","64","657","272","118","25","37","40.32"
"252","Ian Cole","CBJ, COL, PIT","D","219","4199.05","12","49","21","28","61","31.61","255","4.71","11.36","584","397","122","15","2","28","263","101","87","11","3","47","123","80","366","460","488","0","0","-"
"1082","Drake Caggiula","CHI, EDM","C, L","182","2495.4166666667","32","29","17","12","61","55.45","293","10.92","32.41","501","392","337","173","24","34","81","34","31","3","0","45","75","67","379","215","78","144","236","37.89"
"1104","Nolan Patrick","PHI","C","145","2087.8666666667","26","35","18","17","61","67.03","242","10.74","28.16","408","330","267","135","9","33","57","26","25","1","0","39","59","72","120","148","45","775","747","50.92"
"47","Mike Cammalleri","EDM, L.A, N.J","C, L","127","1967.5833333333","17","43","26","17","60","68.18","270","6.30","22.64","464","364","224","73","9","19","39","18","17","1","0","17","68","46","87","95","46","94","78","54.65"
"73","Johnny Boychuk","NYI","D","198","3932.7833333333","15","45","26","19","60","33.52","453","3.31","17.38","945","661","153","20","13","47","74","31","27","4","0","26","147","38","418","334","365","1","0","100.00"
"784","J.T. Compher","COL","L","156","2570.9","32","28","17","11","60","48.00","279","11.47","29.89","487","374","315","142","21","35","55","25","24","1","0","32","44","45","89","159","145","652","729","47.21"
"996","Evan Rodrigues","BUF","L","152","2227.3","20","40","24","16","60","65.22","310","6.45","19.38","542","428","211","72","14","30","43","20","19","1","0","45","60","66","64","126","68","564","709","44.30"
