name,teamName,jersey,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,ht,wt
Keaton Ellerby,Detroit,19,32,64,68,72,68,60,69,68,69,69,64,61,50,48,,
Martin Frk,Detroit,34,27,66,70,69,74,59,73,66,64,64,61,65,39,37,,
Nick Spaling,Detroit,8,32,67,68,67,68,60,72,68,66,64,68,63,62,60,,
Zach Bogosian,Detroit,21,30,73,70,79,76,65,66,69,72,69,77,64,75,73,,
Evan Rodrigues,Detroit,2,27,66,70,69,75,65,72,70,70,69,69,71,47,45,,
Nikolai Kulemin,Detroit,45,34,67,69,73,67,60,73,69,65,64,69,64,78,75,,
Carter Hart,Detroit,10,23,84,86,85,82,78,80,84,82,84,0,0,34,34,,
Simon Fernholm,Detroit,6,27,68,66,77,70,65,69,65,62,62,69,61,25,25,,
Austin Madaisky,Detroit,56,30,69,65,66,68,67,65,67,64,65,65,65,27,27,,
Brett Howden,Detroit,13,23,72,70,75,75,66,70,70,70,69,72,66,39,37,,
Miro Heiskanen,Detroit,14,21,68,76,72,84,81,78,75,76,79,79,74,38,36,,
Dennis Rasmussen,Detroit,40,31,65,66,71,65,60,73,66,64,64,64,62,45,43,,
Matt Finn,Detroit,53,28,69,68,71,70,70,70,69,68,68,69,67,27,27,,
Tim Erixon,Detroit,25,30,64,69,72,68,60,69,72,67,65,64,65,41,39,,
Anthony Louis,Detroit,12,27,64,66,68,73,73,74,71,64,65,64,66,25,25,,
Chris Bigras,Detroit,3,26,63,68,69,67,60,69,70,65,61,66,61,35,33,,
Gustav Olofsson,Detroit,4,26,68,67,69,70,56,70,69,60,59,72,62,35,33,,
Jean-Sebastien Dea,Detroit,7,27,68,66,68,70,57,65,70,62,61,65,63,35,33,,
Matt Tomkins,Detroit,9,27,70,77,73,74,75,76,79,74,72,0,0,31,31,,
Nathan Walker,Detroit,11,27,71,66,68,71,57,66,69,62,61,65,68,35,33,,
Troy Grosenick,Detroit,31,32,77,79,79,76,74,76,77,74,78,0,0,39,39,,
Nikita Kucherov,Edmonton,4,28,69,83,71,80,82,69,88,89,88,71,86,63,61,,
JT Miller,Edmonton,10,28,75,75,77,82,76,68,76,81,82,71,76,66,64,,
Niklas Hansson,Edmonton,5,27,71,77,69,73,70,68,71,67,68,64,60,27,25,,
Elias Lindholm,Edmonton,19,26,71,73,73,82,83,75,73,79,82,77,79,65,63,,
Andrew Shaw,Edmonton,70,29,75,73,73,77,63,61,68,72,73,69,70,65,63,,
Seth Jones,Edmonton,15,26,75,74,82,85,70,75,76,80,77,82,72,65,63,,
Ondrej Palat,Edmonton,31,30,75,72,73,78,71,72,73,79,80,70,73,68,66,,
Carson Soucy,Edmonton,6,26,73,74,78,77,66,66,73,74,72,77,67,39,37,,
Ben Chiarot,Edmonton,63,30,78,71,81,80,69,66,71,73,72,80,68,60,58,,
Colton Parayko,Edmonton,30,28,73,74,82,81,65,76,74,74,75,81,71,58,56,,
Robin Lehner,Edmonton,80,30,90,89,87,82,76,82,86,83,89,0,0,57,57,,
Connor Murphy,Edmonton,41,28,79,72,78,80,65,69,71,73,71,79,70,63,61,,
Johan Larsson,Edmonton,28,28,73,73,75,75,70,68,73,69,67,72,70,60,58,,
Spencer Smallman,Edmonton,2,25,68,68,69,72,66,67,66,69,70,67,69,73,28,,
Anthony Richard,Edmonton,3,24,63,67,66,66,55,70,69,60,60,64,60,35,33,,
Connor Ingram,Edmonton,7,24,78,67,70,77,73,70,75,71,74,0,0,33,33,,
Tyler Bertuzzi,Edmonton,38,26,71,72,75,78,65,68,72,74,76,70,78,44,42,,
Cameron Gaunce,Edmonton,26,31,71,67,74,71,56,55,65,71,71,72,71,39,37,,
Mathieu Joseph,Edmonton,9,24,71,80,69,72,65,69,80,68,66,69,71,39,37,,
Matt Dumba,Edmonton,21,26,75,78,77,81,65,69,78,74,75,76,74,58,56,,
Chris Kreider,Edmonton,71,30,78,78,77,78,72,64,79,73,75,70,80,69,67,,
Tucker Poolman,Edmonton,1,28,71,70,72,77,65,75,70,67,65,72,65,42,40,,
Joshua Jacobs,Edmonton,13,26,67,72,70,73,67,65,72,65,65,70,60,25,25,,
Luke Witkowski,Edmonton,53,31,77,71,78,70,60,49,69,71,66,71,66,45,43,,
Darnell Nurse,Edmonton,8,26,81,75,82,84,85,67,76,77,79,83,78,56,54,,
Martin Jones,Edmonton,16,32,80,80,81,80,78,78,84,77,83,0,0,62,62,,
Bryan Little,Edmonton,20,33,66,70,69,77,64,72,70,76,71,69,73,83,79,,
Matthew Highmore,Edmonton,18,25,68,66,69,72,65,75,66,67,66,66,65,36,34,,
Justin Holl,Edmonton,11,29,72,72,79,78,65,69,71,73,71,79,65,44,42,,
Valtteri Filppula,Edmonton,64,37,64,70,70,77,66,72,70,72,70,71,70,95,90,,
Nikolaj Ehlers,Edmonton,29,25,66,82,72,78,67,71,81,79,81,65,81,55,53,,
Logan Shaw,Edmonton,42,28,65,67,75,68,63,74,70,64,63,62,67,46,44,,
Kyle Okposo,Florida,21,33,69,73,76,75,65,68,73,73,70,68,68,86,82,,
Ryan Miller,Florida,61,41,76,82,75,79,72,81,80,81,81,0,0,78,78,,
Sam Steel,Florida,5,23,67,76,70,76,65,73,76,70,69,65,70,36,34,,
Alex Goligoski,Florida,67,35,72,72,68,82,79,75,72,76,75,79,69,95,90,,
Brayden Point,Florida,4,25,66,86,68,80,79,76,86,80,83,77,82,51,49,,
Chad Johnson,Florida,40,35,80,80,85,78,75,83,83,78,80,0,0,32,32,,
Mark Giordano,Florida,22,37,73,75,74,82,74,68,75,78,80,83,75,95,90,,
Ryan Reaves,Florida,23,34,85,68,81,71,68,45,69,68,69,68,66,80,77,,
Brian Dumoulin,Florida,36,29,74,74,74,81,65,76,74,73,73,81,69,57,55,,
Zach Parise,Florida,20,36,66,74,67,77,69,72,74,74,74,70,75,90,85,,
Andrew Ladd,Florida,24,35,71,70,76,71,59,68,70,71,68,64,70,86,82,,
Joshua Bailey,Florida,44,31,65,72,71,79,81,75,72,79,78,69,72,90,85,,
Tyson Barrie,Florida,71,29,66,80,66,80,81,75,79,87,85,72,73,70,68,,
Matt Puempel,Florida,73,28,65,64,69,72,57,68,67,60,59,62,70,38,36,,
David Perron,Florida,62,33,69,74,71,79,70,66,74,82,84,66,79,88,83,,
John Gibson,Florida,25,28,85,84,80,85,80,75,85,84,84,0,0,55,55,,
Alex Lintuniemi,Florida,2,26,71,61,74,71,72,66,67,59,71,67,65,27,25,,
Marc Staal,Florida,29,34,70,70,79,77,69,70,70,73,71,78,68,90,85,,
Nate Thompson,Florida,60,36,72,71,73,73,71,68,70,67,66,72,64,89,84,,
Leo Komarov,Florida,47,34,77,68,76,74,65,69,69,72,68,71,64,69,67,,
Chase De Leo,Florida,12,25,69,68,65,69,55,70,65,60,61,60,60,35,33,,
Michael Del Zotto,Florida,26,31,75,73,69,77,65,72,73,73,71,70,68,78,75,,
Radek Faksa,Florida,6,27,76,70,77,78,79,67,71,70,69,72,70,57,55,,
Max Pacioretty,Florida,75,32,71,74,76,79,69,68,74,79,83,71,84,85,81,,
Joel Edmundson,Florida,82,28,75,70,77,78,71,65,69,73,74,78,69,57,55,,
Travis Zajac,Florida,33,36,70,72,72,78,73,73,72,73,69,76,72,93,88,,
Leon Draisaitl,Florida,30,25,70,77,77,85,85,73,77,90,88,71,90,58,56,,
Nick Paul,Florida,13,26,74,66,74,76,65,70,68,71,66,71,68,42,40,,
Anthony Mantha,LosAngeles,14,26,70,72,79,79,65,67,73,75,77,67,76,50,48,,
Tanner Pearson,LosAngeles,36,28,72,72,73,78,77,71,71,72,70,68,73,63,61,,
John Moore,LosAngeles,26,30,71,76,75,78,62,70,76,72,68,75,66,66,64,,
Frederik Andersen,LosAngeles,4,32,86,88,89,83,76,82,88,85,86,0,0,64,64,,
Justin Schultz,LosAngeles,30,31,67,77,68,78,64,77,76,78,79,71,70,68,66,,
Austin Czarnik,LosAngeles,27,28,65,70,69,75,60,75,71,64,65,67,64,41,39,,
Shea Theodore,LosAngeles,39,25,67,77,77,81,80,74,77,84,86,83,76,49,47,,
Anton Slepyshev,LosAngeles,10,27,65,69,69,67,60,75,70,65,65,64,65,38,36,,
Alex Wennberg,LosAngeles,7,26,66,72,73,78,67,76,72,74,73,71,66,55,53,,
Brett Connolly,LosAngeles,34,29,68,69,69,75,66,68,70,70,71,66,72,65,63,,
Brayden McNabb,LosAngeles,80,30,80,70,78,78,71,67,71,73,72,82,66,66,64,,
Michael Hutchinson,LosAngeles,38,32,78,79,79,74,70,78,82,80,78,0,0,47,47,,
Cam Fowler,LosAngeles,15,29,66,77,74,81,66,76,77,75,78,75,73,77,75,,
Brendan Perlini,LosAngeles,9,25,65,73,75,72,65,69,73,66,66,62,64,43,41,,
Connor Brickley,LosAngeles,86,29,77,69,72,70,58,65,68,72,69,63,66,39,37,,
Rocco Grimaldi,LosAngeles,24,28,66,70,66,73,65,76,70,70,68,66,72,46,44,,
Derek Forbort,LosAngeles,8,29,75,70,78,79,65,68,70,72,68,77,64,55,53,,
Rickard Rakell,LosAngeles,70,28,70,72,73,79,70,76,72,77,75,66,73,63,61,,
Noah Juulsen,LosAngeles,3,24,73,66,72,73,58,70,68,64,62,70,64,35,33,,
Grayson Downing,LosAngeles,1,29,64,66,66,74,71,67,68,67,69,67,68,27,27,,
Justin Bailey,LosAngeles,2,26,65,67,71,68,56,70,70,61,63,69,60,35,33,,
Mike Smith,LosAngeles,64,40,85,82,86,77,70,70,84,78,82,0,0,88,88,,
Connor Clifton,LosAngeles,13,26,78,74,67,76,63,66,72,68,65,70,65,38,36,,
Andrey Makarov,LosAngeles,35,28,75,75,73,78,79,79,77,78,79,0,0,34,34,,
Emerson Etem,LosAngeles,65,29,65,71,72,65,60,75,70,60,60,62,60,44,42,,
Brandon Sutter,LosAngeles,18,32,68,70,74,77,64,77,71,67,67,78,72,82,79,,
Brandon Alderson,LosAngeles,49,30,64,64,68,69,66,66,65,67,67,67,66,27,25,,
Emil Galimov,LosAngeles,48,29,69,69,69,69,67,70,67,69,71,70,70,28,27,,
Josh Anderson,LosAngeles,29,27,79,78,77,78,65,65,78,73,73,72,74,51,49,,
Jordan Oesterle,LosAngeles,22,29,68,70,70,77,65,78,71,73,75,73,66,50,48,,
Zack Smith,LosAngeles,53,33,78,67,77,74,65,60,67,71,69,69,67,76,74,,
Josh Winquist,LosAngeles,17,28,65,66,68,73,73,74,71,64,65,64,66,27,27,,
Mike Aviani,LosAngeles,44,28,60,66,65,67,67,69,69,68,68,66,66,27,27,,
Kyle Beach,LosAngeles,25,32,74,68,74,70,65,45,70,70,66,60,71,25,25,,
Zack Mitchell,LosAngeles,69,28,65,66,68,66,60,70,66,64,63,63,65,35,33,,
Jeff Skinner,LosAngeles,62,29,66,75,70,77,73,69,77,70,71,65,73,79,76,,
Dylan Olsen,LosAngeles,31,30,63,70,73,67,60,72,69,67,66,64,61,43,41,,
Liam O'Brien,LosAngeles,87,26,71,66,71,67,59,45,67,71,70,71,60,35,33,,
Carl Soderberg,LosAngeles,23,35,72,73,73,77,73,70,72,73,72,71,72,77,75,,
Brad Richardson,LosAngeles,28,36,69,72,64,75,65,67,72,69,67,78,68,82,79,,
Neal Pionk,LosAngeles,46,25,77,76,71,81,77,72,75,83,83,73,70,44,42,,
Denis Gurianov,LosAngeles,16,24,69,75,77,76,65,72,75,73,75,66,73,38,36,,
Oscar Lindberg,LosAngeles,33,29,73,70,72,73,65,67,70,72,70,67,72,49,47,,
Josh Leivo,LosAngeles,37,28,66,69,73,74,65,70,69,70,72,68,72,46,44,,
Melker Karlsson,LosAngeles,19,30,68,69,70,74,72,69,69,67,67,73,69,58,56,,
Mikael Granlund,LosAngeles,32,29,71,76,70,80,72,74,74,74,73,73,74,69,67,,
Nathan Gerbe,LosAngeles,51,33,68,77,55,74,60,68,77,71,68,69,68,64,62,,
Jordan Weal,LosAngeles,71,29,67,70,68,75,65,72,71,70,72,72,71,47,45,,
Antti Suomela,Montreal,16,27,71,71,70,73,59,70,71,66,65,73,63,35,33,,
Juuso Riikola,Montreal,24,27,76,70,70,75,61,71,70,67,68,69,64,37,35,,
Jimmy Schuldt,Montreal,9,26,61,68,69,69,55,70,67,69,69,69,62,35,33,,
Zachary Aston-Reese,Montreal,43,27,69,71,75,76,70,64,71,69,69,75,71,27,29,,
Xavier Ouellet,Montreal,7,27,76,74,70,75,58,69,74,65,63,71,62,42,40,,
Marcus Kruger,Montreal,12,31,67,72,71,72,70,68,73,68,64,72,65,66,64,,
Nic Dowd,Montreal,26,31,77,72,75,76,67,67,72,67,66,77,71,56,54,,
Nicholas Baptiste,Montreal,19,25,63,70,71,66,60,66,70,63,62,62,65,35,33,,
Andreas Borgman,Montreal,39,26,70,69,71,73,57,66,70,73,74,70,62,35,33,,
William Carrier,Montreal,1,26,79,71,77,75,67,65,71,70,69,69,69,47,45,,
Charlie Coyle,Montreal,2,29,71,70,78,78,78,70,71,72,70,73,70,71,69,,
Garret Sparks,Montreal,22,28,78,81,79,75,75,76,82,81,81,0,0,36,36,,
Travis Boyd,Montreal,37,27,65,67,73,72,64,75,70,71,69,65,69,40,38,,
Trevor Lewis,Montreal,66,34,69,72,70,72,65,73,72,68,67,71,68,83,79,,
Korbinian Holzer,Montreal,25,33,77,66,75,76,63,66,66,70,62,74,64,51,49,,
Matt Irwin,Montreal,59,33,77,69,75,75,63,69,70,70,63,72,62,62,60,,
Christian Folin,Montreal,27,30,75,68,72,75,62,68,71,71,66,70,66,50,48,,
Nick Shore,Montreal,40,28,67,71,73,70,69,69,71,63,63,68,64,51,49,,
Antoine Roussel,Montreal,69,31,76,70,77,74,65,48,70,69,67,70,67,69,67,,
Madison Bowey,Montreal,33,26,74,75,75,76,63,66,73,71,70,71,65,40,38,,
Kasimir Kaskisuo,Montreal,10,28,70,77,73,74,75,76,79,74,72,0,0,34,34,,
Carter Verhaeghe,Montreal,46,25,67,75,73,78,65,68,76,74,75,71,78,37,35,,
Matt Martin,Montreal,47,32,82,68,79,72,67,51,67,66,65,66,68,81,78,,
Kevin Poulin,Montreal,63,30,74,76,75,70,70,76,75,74,75,0,0,39,39,,
Tyler Ennis,Montreal,38,31,70,75,64,74,65,71,74,72,72,66,71,74,72,,
Valentin Zykov,Montreal,30,26,68,68,73,72,60,70,68,69,71,66,66,35,33,,
Brett Ritchie,Montreal,20,28,79,68,75,72,64,63,70,67,68,63,68,51,49,,
Jarred Tinordi,Montreal,28,29,79,67,76,75,62,60,70,69,64,76,64,41,39,,
Reid Duke,Montreal,21,25,69,67,71,70,61,66,68,68,66,65,66,25,25,,
Blaine Byron,Montreal,3,26,68,71,66,72,70,68,69,69,69,67,67,27,25,,
C.J. Smith,Montreal,4,26,69,63,70,69,56,70,65,60,59,61,62,35,33,,
Sven Andrighetto,Montreal,58,28,66,75,69,72,65,74,75,70,66,67,69,45,43,,
Pontus Aberg,Montreal,79,27,65,69,70,75,62,72,70,72,73,63,70,40,38,,
Chris Wideman,Montreal,60,31,65,71,71,67,60,66,73,67,68,70,67,46,44,,
Mark Jankowski,Montreal,6,26,67,73,79,76,66,71,72,68,67,74,68,47,45,,
Joseph Blandisi,Montreal,5,26,71,68,72,69,59,62,71,68,67,63,66,37,35,,
Ryan Murphy,Montreal,13,28,65,73,65,69,56,73,73,69,69,68,62,43,41,,
Sergei Bobrovsky,Montreal,36,33,82,86,87,80,76,80,85,83,83,0,0,75,75,,
Craig Smith,Montreal,29,31,69,72,73,76,77,69,72,74,76,69,74,79,76,,
Ivan Barbashev,Nashville,21,25,71,69,71,75,68,74,69,71,67,72,71,46,44,,
Jakub Vrana,Nashville,0,25,66,79,72,76,77,73,79,75,75,65,79,48,46,,
Denis Malgin,Nashville,4,24,69,67,69,74,64,73,67,71,72,68,68,40,38,,
Daniel Zarr,Nashville,95,27,69,70,71,70,72,70,67,67,67,59,68,31,27,,
Jordan Eberle,Nashville,9,31,66,79,66,78,72,75,79,75,77,70,75,82,79,,
Dylan Strome,Nashville,11,24,66,74,72,77,66,72,74,76,75,66,73,42,40,,
Dillon Dube,Nashville,8,22,69,74,68,74,64,71,74,72,70,65,71,35,33,,
Dylan Demelo,Nashville,5,28,72,71,74,78,70,69,72,73,71,77,63,53,51,,
Ryan Dzingel,Nashville,46,29,68,70,71,75,67,69,70,72,72,66,72,57,55,,
Jakub Voracek,Nashville,93,31,65,75,77,78,77,69,75,82,83,66,72,92,87,,
Torey Krug,Nashville,41,30,69,77,64,80,66,71,78,87,84,72,69,69,67,,
Jordan Staal,Nashville,28,32,78,69,80,80,66,69,69,77,77,77,74,87,83,,
Ryan Johansen,Nashville,13,28,69,72,77,78,74,68,73,76,76,69,72,74,72,,
Gavin Bayreuther,Nashville,22,27,71,70,66,71,59,67,70,64,63,69,71,35,33,,
Connor Hellebuyck,Nashville,30,28,91,92,89,86,83,78,92,88,92,0,0,54,54,,
Juuse Saros,Nashville,34,26,85,86,83,80,78,80,88,81,88,0,0,41,41,,
Andrew Hammond,Nashville,33,34,76,75,77,70,70,79,75,70,72,0,0,44,44,,
Derek Stepan,Nashville,39,31,72,72,71,78,65,75,72,73,71,71,68,80,77,,
Gabriel Landeskog,Nashville,90,28,75,74,74,81,68,67,75,80,84,72,81,73,71,,
Matthew Gaudreau,Nashville,20,27,66,69,62,62,60,59,66,66,66,63,63,26,28,,
Jimmy Hayes,Nashville,48,31,66,67,80,67,60,67,70,66,65,61,64,56,54,,
Matt Duchene,Nashville,23,30,68,79,70,78,65,76,79,76,77,67,74,83,79,,
Oscar Klefbom,Nashville,10,27,73,70,75,85,65,78,74,80,77,83,71,54,52,,
Nick Foligno,Nashville,71,33,83,71,74,79,70,65,71,73,70,71,71,92,87,,
Jon Merrill,Nashville,35,29,69,70,75,77,65,69,71,73,68,73,65,59,57,,
Cale Fleury,Nashville,12,22,73,72,70,73,64,70,73,60,56,69,64,35,33,,
Dan Paille,Nashville,15,37,66,70,71,67,60,72,70,60,60,65,60,70,68,,
Roman Polak,Nashville,70,35,74,70,75,74,65,66,70,72,66,74,62,85,81,,
Colton Sceviour,Nashville,27,32,72,71,71,73,66,74,71,69,66,72,68,68,66,,
P.K. Subban,Nashville,76,32,72,77,74,81,66,66,78,75,77,73,73,82,79,,
Henrik Haapala,Nashville,24,27,64,69,51,68,60,70,67,66,65,62,60,35,33,,
Brandon Montour,Nashville,38,27,71,74,75,79,69,68,76,73,72,73,73,50,48,,
Anton Blidh,Nashville,42,26,73,65,68,73,57,68,70,60,60,69,65,35,33,,
Damon Severson,Nashville,36,26,72,72,73,81,83,69,77,75,76,76,71,60,58,,
Michael Bunting,Nashville,26,25,71,61,68,71,59,68,67,69,71,62,71,35,33,,
Spencer Foo,Nashville,77,27,67,66,64,69,60,70,63,60,62,66,69,35,33,,
Mikhail Grigorenko,Nashville,14,27,66,71,76,75,64,77,74,73,69,65,69,47,45,,
Saku Maenalanen,Nashville,29,27,71,65,74,71,62,62,70,69,66,66,70,35,33,,
Drew Doughty,New Jersey,9,31,73,81,76,87,81,69,81,80,80,82,73,92,87,,
Jeremy Bracco,New Jersey,42,25,70,69,67,65,74,71,71,68,68,68,69,26,25,,
Jaroslav Halak,New Jersey,68,36,83,83,84,77,74,81,86,82,85,0,0,77,77,,
Pierre Engvall,New Jersey,3,25,66,80,78,73,65,70,77,69,68,69,72,36,34,,
James van Riemsdyk,New Jersey,21,32,66,70,76,77,71,70,70,78,80,68,77,84,80,,
Derek Ryan,New Jersey,1,34,66,69,65,75,70,71,70,73,74,76,67,61,59,,
Dominic Toninato,New Jersey,7,27,73,70,71,76,59,63,70,75,72,65,64,38,36,,
Callum Booth,New Jersey,8,24,71,75,73,72,70,70,74,69,76,0,0,31,31,,
Morgan Rielly,New Jersey,2,27,70,79,75,83,68,77,79,84,83,76,73,66,64,,
Steven Stamkos,New Jersey,92,31,69,80,70,80,66,68,80,81,84,69,85,85,81,,
Dominik Kubalik,New Jersey,13,25,69,71,73,77,81,72,71,75,75,65,78,39,37,,
Nikita Zadorov,New Jersey,52,26,83,70,76,77,71,64,71,73,70,73,65,56,54,,
Travis Dermott,New Jersey,5,24,69,78,70,74,66,69,78,71,67,70,67,42,40,,
Brad Marchand,New Jersey,69,33,74,80,69,80,79,63,80,87,89,77,85,86,82,,
Lucas Wallmark,New Jersey,6,25,68,69,70,74,65,69,69,71,71,70,66,41,39,,
Valeri Nichushkin,New Jersey,47,26,70,75,75,76,67,79,75,72,74,76,70,52,50,,
Trevor Moore,New Jersey,26,26,67,72,68,75,65,73,72,72,73,69,71,40,38,,
Thomas Hickey,New Jersey,12,32,71,77,72,76,60,70,77,70,71,73,62,63,61,,
Stephen Johns,New Jersey,25,29,69,68,73,69,59,68,68,69,69,69,69,44,42,,
Pavel Francouz,New Jersey,4,31,77,81,78,77,65,70,80,78,81,0,0,40,40,,
Connor McDavid,New Jersey,97,24,71,90,70,85,76,75,91,91,90,71,90,53,51,,
Jacob Trouba,New Jersey,15,27,82,75,77,81,69,68,76,75,75,79,70,62,60,,
Lawrence Pilut,New Jersey,18,25,68,71,70,73,60,69,70,67,68,70,64,35,33,,
Andreas Johnson,New Jersey,27,26,68,76,72,76,65,70,74,71,73,68,70,42,40,,
Ondrej Kase,New Jersey,32,25,65,71,73,75,62,74,73,68,70,70,67,42,40,,
Igor Shesterkin,New Jersey,10,26,85,87,78,78,76,85,83,76,85,0,0,34,34,,
Mitch Marner,New Jersey,14,24,71,82,67,84,75,73,86,90,86,78,77,50,48,,
Oliver Bjorkstrand,New Jersey,24,26,70,81,73,78,68,75,78,77,78,66,78,50,48,,
Taro Hirose,New Jersey,17,25,64,72,66,73,59,70,72,73,72,67,63,35,33,,
Pavel Buchnevich,New Jersey,31,26,71,73,74,79,70,69,73,79,77,72,78,50,48,,
Hudson Fasching,New Jersey,38,25,67,67,74,71,57,69,67,60,59,71,60,35,33,,
Joe Pavelski,New Jersey,44,36,71,73,69,79,77,71,72,77,80,73,81,98,93,,
James Reimer,New Jersey,34,34,83,83,84,80,75,81,80,82,80,0,0,66,66,,
Will Butcher,New Jersey,40,26,65,76,68,78,65,79,75,77,74,71,68,45,43,,
Matt Bartkowski,Islanders,65,33,60,72,70,65,57,67,71,58,57,72,63,54,52,,
Marcus Pettersson,Islanders,10,25,70,74,73,77,76,68,75,73,75,72,66,44,42,,
Cam Talbot,Islanders,80,34,83,85,84,80,79,79,84,82,83,0,0,63,63,,
Dalton Prout,Islanders,72,31,71,68,79,71,58,60,68,68,60,74,68,52,50,,
Devante Smith-Pelly,Islanders,77,29,71,70,78,72,65,69,70,66,65,72,67,57,55,,
Gemel Smith,Islanders,8,27,74,71,72,71,57,62,71,76,72,61,63,37,35,,
Keith Aulie,Islanders,27,32,69,67,78,67,60,58,66,63,60,68,61,48,46,,
Christian Fischer,Islanders,4,24,76,64,75,74,67,73,64,68,67,69,67,45,43,,
Peter Andersson,Islanders,81,30,70,66,71,69,67,65,67,66,65,65,64,28,28,,
Ryan Fitzgerald,Islanders,6,27,67,69,67,72,71,71,70,67,65,63,69,29,27,,
Jason Spezza,Islanders,21,38,65,71,72,76,70,69,71,75,76,69,71,94,89,,
A.J. Greer,Islanders,3,24,71,67,74,71,57,45,67,61,60,61,61,35,33,,
Roope Hintz,Islanders,9,24,70,76,77,78,65,74,76,78,79,71,77,39,37,,
Pavel Datsyuk,Islanders,30,42,66,74,64,69,60,77,74,69,69,66,67,78,75,,
Scott Darling,Islanders,48,33,78,80,83,76,73,75,79,75,81,0,0,48,48,,
Rudolfs Balcers,Islanders,5,24,74,74,68,75,63,70,74,72,69,70,71,35,33,,
Alex Killorn,Islanders,69,31,69,70,74,79,82,68,70,75,75,75,76,74,72,,
Riley Sheahan,Islanders,11,29,66,70,77,75,78,77,71,70,68,76,68,68,66,,
Sam Lafferty,Islanders,7,26,76,72,70,71,65,63,73,71,68,64,64,37,35,,
Connor Carrick,Islanders,24,27,70,72,71,76,61,66,71,72,67,70,69,46,44,,
Sami Vatanen,Islanders,12,30,71,76,66,78,65,70,77,74,73,75,70,63,61,,
Brock McGinn,Islanders,1,27,70,70,73,76,68,74,71,70,70,77,71,53,51,,
Samuel Girard,Rangers,40,23,68,81,68,81,76,78,81,82,82,76,71,44,42,,
Jake DeBrusk,Rangers,16,24,68,72,72,77,66,75,72,72,74,71,74,44,42,,
Cooper Marody,Rangers,9,24,65,69,70,68,56,70,66,60,61,69,60,35,33,,
Victor Olofsson,Rangers,25,25,64,75,70,79,64,75,76,76,75,64,75,38,36,,
C.J. Franklin,Rangers,6,28,69,66,69,65,72,65,68,66,70,66,70,28,27,,
Tyler Seguin,Rangers,22,29,73,77,76,81,65,74,77,80,80,70,79,76,74,,
Rasmus Ristolainen,Rangers,5,26,83,76,75,82,74,70,76,76,78,74,71,63,61,,
Mike Amadio,Rangers,20,25,69,65,70,71,68,68,73,64,67,70,68,25,27,,
David Pastrnak,Rangers,19,25,69,76,70,80,68,69,76,82,87,71,87,56,54,,
Dante Fabbro,Rangers,4,23,70,72,70,78,64,69,72,72,70,72,69,35,33,,
Roman Josi,Rangers,59,31,70,82,74,85,76,74,81,85,84,82,79,76,74,,
Justin Braun,Rangers,61,34,71,70,77,77,73,72,69,72,70,76,65,82,79,,
Johnny Gaudreau,Rangers,27,27,64,84,64,80,84,77,82,82,83,68,78,63,61,,
Patric Hornqvist,Rangers,47,34,76,76,68,78,65,68,76,76,79,68,76,87,83,,
Paul Ladue,Rangers,30,28,69,70,72,73,59,70,65,73,69,69,69,37,35,,
Colin White,Rangers,18,24,69,64,71,76,66,69,66,73,72,68,72,41,39,,
Devin Shore,Rangers,24,26,72,68,71,73,65,76,71,69,67,67,69,50,48,,
Zach Hyman,Rangers,17,29,74,74,75,80,65,68,76,76,77,77,78,55,53,,
Vince Dunn,Rangers,23,24,68,76,71,77,71,70,75,74,76,70,74,45,43,,
Nicolas Roy,Rangers,28,24,70,69,74,74,63,70,66,70,71,73,69,35,33,,
Alex Chiasson,Rangers,29,30,69,70,76,75,68,66,70,71,73,66,73,69,67,,
Alexandre Carrier,Rangers,31,24,71,73,67,71,59,70,72,70,62,71,67,35,33,,
Mike Reilly,Rangers,13,27,69,76,73,78,65,70,75,79,79,74,65,48,46,,
Jujhar Khaira,Rangers,11,26,81,68,74,74,65,63,69,69,67,71,67,47,45,,
Louis Domingue,Rangers,42,30,80,80,79,74,70,77,81,80,82,0,0,45,45,,
Petr Mrazek,Rangers,41,30,85,88,85,78,76,80,86,81,84,0,0,54,54,,
Ryan Ellis,Rangers,7,30,70,79,68,83,65,74,79,81,80,78,74,68,66,,
Jonathan Huberdeau,Rangers,15,28,70,77,71,80,82,69,77,86,86,69,79,68,66,,
Hayden Hawkey,Rangers,3,27,72,72,70,71,69,69,73,71,70,0,0,29,29,,
Jack Campbell,Rangers,14,30,87,87,84,80,77,80,86,82,86,0,0,42,42,,
Kasperi Kapanen,Rangers,1,24,69,80,71,77,68,75,80,77,76,68,74,44,42,,
Rasmus Dahlin,Rangers,21,21,71,76,73,79,76,70,76,79,80,73,72,38,36,,
Nick Schmaltz,Rangers,26,25,66,72,71,78,65,75,70,79,78,68,72,48,46,,
Anthony DeAngelo,Rangers,10,25,66,76,71,76,60,63,76,76,77,69,70,35,33,,
Robby Fabbri,Rangers,32,25,69,70,71,77,64,69,71,72,71,64,74,45,43,,
Mika Zibanejad,Rangers,93,28,75,72,75,83,74,74,72,81,80,75,84,69,67,,
Mason Appleton,Rangers,33,25,69,72,75,77,65,70,72,73,73,70,71,39,37,,
Jonathan Drouin,Rangers,45,26,69,80,70,77,65,70,81,78,78,66,69,54,52,,
Jonathan Toews,Ottawa,20,33,73,76,75,81,84,69,76,82,80,74,75,89,84,,
